Restaurante,Puntaje
El Nacional - La Llotja,"4,0"
En Diagonal Bar,"4,5"
Grasshopper,"4,0"
Puertecillo Born,"4,5"
La Bodegueta,"4,0"
El 58,"4,5"
Txapela Paseo de Gracia - Aragón,"3,5"
La Tomaquera,"3,5"
Raco De La Vila,"4,0"
A estrela Galega,"4,5"
ElDiset,"4,5"
Fratelli la Bufala,"4,0"
El Club De La Hamburguesa,"4,0"
Massimo,"4,0"
Braseria El Glop,"4,0"
Kanada-Ya Barcelona,"4,5"
Taverna del Bisbe,"3,5"
Lexi's restaurant & cocktail bar,"4,0"
Mi Gracia,"4,5"
Mo Te Magno,"4,5"
Gelida,"4,5"
Granja Elena,"4,5"
Memorias de China,"4,0"
El Cercle,"3,5"
El Yantar de la Ribera,"4,0"
Xup Xup Restaurant,"4,0"
Veggie Garden 100% vegano,"4,0"
El Rincón de la Abuela Venezolana,"4,0"
Bodega La Puntual,"4,0"
Marisqueria Esthvan,"4,5"
Restaurant Gaig,"4,0"
La Capricciosa,"4,0"
Restaurant Gaig,"4,0"
El Racó - Rambla Catalunya,"4,0"
Hisop,"4,0"
Suarna,"4,0"
Restaurante Bodega Sepulveda,"4,0"
Miguelitos,"4,0"
Alsur Café (Llúria),"4,0"
Vinitus Madrid-Barcelona,"4,5"
Chihuahua restaurant,"4,0"
Santa Clara Restaurante,"4,0"
Zarautz Taberna Vasca,"4,5"
El Ramblero,"4,5"
Restaurante Solomillo,"4,5"
Menssana,"4,5"
La Tere Gastrobar,"4,5"
Restaurant Ají,"4,5"
Santa Rita Experience,"5,0"
Arrosseria Xàtiva Gràcia,"4,0"
Watatsumi,"4,0"
La Bella Napoli,"4,0"
La Piazzenza,"3,0"
Federal Cafe Parlament,"3,5"
Granja M. Viader,"4,0"
Arenal Restaurant,"3,5"
Isabella's,"3,5"
Trobador Rambla Catalunya,"3,5"
Panoramic,"3,5"
El Señorio del Perú,"3,5"
El Jardí de l'Abadessa,"3,5"
Melo-Jia,"4,5"
Gelatomania Barcelona,"5,0"
Granja La Pallaresa,"4,0"
El Melic del Gotic,"4,0"
Restaurante Can Maño,"4,5"
Bubo Born,"4,0"
Una Mica De Japó,"4,5"
Baluard Barceloneta,"4,5"
La pizza del Sortidor,"4,5"
Cremeria Toscana,"4,5"
Restaurante Sagues,"4,0"
La Informal,"4,0"
chök - Carme,"4,5"
Eat Caribbean,"4,5"
Restaurante El Rincon Maya,"4,0"
Bar Calders,"4,0"
VENUS Delicatessen Barcelona,"4,0"
La Taula de Barcelona,"4,5"
The Coffee House Barcelona,"5,0"
Xerta Restaurant,"4,0"
La Vespa Burger Bar,"4,0"
El Filete Ruso,"4,0"
Xera Restaurant,"5,0"
Gastro-Taqueria Mexicana,"4,0"
Gandhi Restaurant,"3,5"
Topik,"4,0"
Restaurante Japones Ta Mi,"3,5"
Calabrasa,"4,0"
La Bodegueta Provença,"4,0"
Restaurante El Reloj,"4,0"
La Strada Pizza Barcelona,"4,5"
Supra Barcelona,"4,5"
Bo&mie Barcelona,"4,5"
Surya Pau Claris,"4,0"
Yatai,"4,0"
La Cantina Mexicana,"4,0"
Indochine Restaurant Ly Leap,"3,5"
Goiko - Passeig de Sant Joan 58,"3,5"
Morelia restaurant,"4,0"
Bilbao Restaurante,"4,0"
Estimar,"4,0"
B-ONE Palau de Mar,"4,0"
RESTAURANTE IPAR-TXOKO,"4,0"
El Pebrot i El Petit Cargol,"4,0"
Terra d'Escudella,"4,0"
La Trini,"4,0"
Casa Dorita,"4,0"
Bun Bo Raval,"4,0"
La Vermuterie,"4,0"
Momo Avinyó,"4,5"
La Cua Curta,"4,0"
Ken Restaurante,"4,0"
Restaurante Quixote,"4,0"
Can Cisa - Bar Brutal,"4,0"
Pastisseria Lis Barcelona - Pere Camps,"4,5"
"La Tagliatella Plaça Catalunya, Barcelona","3,5"
La Gormanda,"4,5"
Nevermind Bar,"4,5"
Rasoi,"4,5"
La Caravana,"4,5"
Tomasso - New York Pizza,"4,5"
Red Ant Noodle Bar,"4,0"
DOP Restaurante,"4,0"
Bellillo,"4,5"
Les Finestres de Llúria,"4,5"
La  Nueva  Marquesa,"4,5"
Somodo,"4,5"
La Pubilla,"4,5"
Taverna hofmann,"4,5"
Kook,"4,5"
La Malandrina,"4,5"
TocaTeca,"4,5"
Pasa Tapas,"4,5"
Un gelato per te,"5,0"
Kobuta Ramen i més,"4,5"
DonCurado Tasting Barcelona,"4,0"
Krampus,"4,0"
Paella Bar Boquería,"4,5"
Betlem Miscelánea Gastronómica,"4,5"
Oma Bistro,"4,5"
Aguaribay,"4,5"
by Barcelona,"3,0"
Timesburg Poblenou,"4,0"
"La Tagliatella C.C. Illa Diagonal, Barcelona","3,5"
THAI THAI BCN,"4,0"
Chill Bar Barcelona,"4,5"
ÖUZÖ Barcelona,"4,5"
Obama,"4,0"
Mishima Sushi Bar,"4,0"
Gallito,"3,5"
Forn Mistral,"4,5"
La Piazzetta GranVia,"5,0"
Gelateria Gocce di Latte,"4,5"
Sato I Tanaka,"5,0"
Caj Chai,"4,5"
CentOnze Restaurante,"4,0"
Bravo,"3,5"
Barcelona Bar,"4,0"
9 Reinas Barcelona,"4,5"
Kiltro Restobar Gracia,"5,0"
El Foro,"4,0"
BarceLona Tapas Bar & Restaurant,"4,0"
Boa-Bao Barcelona,"4,5"
Assunta Barcelona,"4,5"
Restaurante Cadaques Barcelona,"4,5"
Panqa Barcelona,"4,5"
Red Garter Barcelona,"4,5"
Bar Lafuente,"4,0"
Napoli Prima e Dopo,"4,0"
Volta al Món,"4,5"
Escriba,"4,5"
El Nacional - La Braseria,"3,5"
Verne Barcelona,"4,5"
65 Degrees Barcelona,"4,5"
Blau BCN,"4,0"
Cinc Sentits,"4,5"
Galeria Cosmo,"4,0"
Greek Aribau,"4,0"
La Taberna Griega,"3,5"
De Tapa Madre,"4,0"
Oishii Ramen Street,"4,0"
La Lubina,"4,5"
Carlota Restaurant,"4,0"
Timesburg Sants,"4,0"
THAI Tuk Tuk Barcelona,"4,5"
El Jardi de L'apat,"3,0"
Colibri Brunch & Bistro,"4,5"
Ca la Nuri Terra,"3,5"
Montesquiu,"3,5"
The Rooftop at Sir Victor,"4,5"
Kynoto Sushi Bar,"4,5"
Garage Beer Co,"4,5"
Bo de B,"4,5"
